"ds_anon_user_id","module","NRead","NRead_unique","NRead_trimmed","NRead_trimmed_unique","NAction","NAction_unique","TimeRead","TimeReadTrimmed","TimeAction","TimeActionToPage","TimePageToAction","CountActionToPage","CountPageToAction","wordcount","npages","nactivities","nfigures","reading_rate","percentActivities","percentPages","NRead_trimmed_overall","NRead_trimmed_unique_overall","NAction_overall","NAction_unique_overall","TimeReadTrimmed_overall","TimeAction_overall","wordcount_overall","npages_overall","nactivities_overall","nfigures_overall","retention_interval","correctness_alltries","correctness_firsttry","meanAttempts","pretestGrade","quizGrade","examGrade","dataset","domain"
"Stu_c41cb8a460fb6e23e9167af34b8521e6",2,45,35,36,32,9,9,13089.1833333333,1460.43703703704,7,0.633333333333333,11.8166666666667,10,10,13560,43,36,32,40.567695473251,0.25,1.04651162790698,77,59,10,10,1606.05531135531,9.75,30578,70,95,40,1.06666666666667,0.7,0.673913043478261,1.3,0.888888888888889,0.933333333333333,0.709677419354839,"ds2033","c@cm"
"Stu_c5453d25b078b45cc1b630c885e9c2f9",2,3,2,2,2,0,0,0.133333333333333,0.0777777777777778,0.65,0,0.15,0,1,1081,3,1,1,0.0388888888888889,0,1,5,5,0,0,0.338095238095238,1.68333333333333,3444,8,6,3,1.41666666666667,0.8,0.75,1.2,0.944444444444444,0.9,0.849462365591398,"ds2033","c@cm"
"Stu_c5453d25b078b45cc1b630c885e9c2f9",3,4,3,3,3,0,0,0.833333333333333,0.275,1.03333333333333,0,1.16666666666667,0,2,2363,5,5,2,0.0916666666666667,0,0.8,5,5,0,0,0.338095238095238,1.68333333333333,3444,8,6,3,6.48333333333333,NA,NA,NA,0.888888888888889,0.961538461538462,0.849462365591398,"ds2033","c@cm"
"Stu_c93f702254e6faad262eb8d5795943ac",1,46,14,30,13,17,17,1301.46666666667,144.563768115942,57.6833333333333,2.23333333333333,27.3666666666667,17,20,17676,32,44,20,4.8187922705314,0.386363636363636,1.4375,82,54,47,47,337.037021857924,134.783333333333,52526,117,132,89,0.183333333333333,0.703056768558952,0.726190476190476,1.42794759825328,0.833333333333333,0.964285714285714,0.720430107526882,"ds2033","c@cm"
"Stu_c93f702254e6faad262eb8d5795943ac",2,36,30,28,26,17,17,1475.38333333333,167.181481481481,45.9,1.25,24.1166666666667,17,18,16383,46,41,35,5.9707671957672,0.414634146341463,0.782608695652174,82,54,47,47,337.037021857924,134.783333333333,52526,117,132,89,0.2,0.739130434782609,0.780952380952381,1.42028985507246,0.888888888888889,0.866666666666667,0.720430107526882,"ds2033","c@cm"
"Stu_c93f702254e6faad262eb8d5795943ac",3,8,5,5,4,2,2,0.266666666666667,0.216666666666667,6.76666666666667,0.466666666666667,14.7833333333333,3,5,4880,10,7,4,0.0433333333333333,0.285714285714286,0.8,82,54,47,47,337.037021857924,134.783333333333,52526,117,132,89,0.266666666666667,0.78,0.8,1.26,0.888888888888889,0.730769230769231,0.720430107526882,"ds2033","c@cm"
"Stu_c93f702254e6faad262eb8d5795943ac",4,32,13,19,11,11,11,308.266666666667,40.3666666666667,24.4333333333333,2.16666666666667,28.9666666666667,15,19,13587,29,40,30,2.12456140350877,0.275,1.10344827586207,82,54,47,47,337.037021857924,134.783333333333,52526,117,132,89,0.183333333333333,0.67741935483871,0.69811320754717,1.64516129032258,1,0.852941176470588,0.720430107526882,"ds2033","c@cm"
"Stu_ce4542a2eff6df5fb4a0a6c410263b5e",1,16,11,10,10,17,17,6.71666666666667,1.12291666666667,22.95,0.7,5.51666666666667,18,20,9952,31,37,12,0.112291666666667,0.459459459459459,0.516129032258065,67,39,19,19,185.591666666667,32.2166666666667,32097,69,67,72,0.133333333333333,0.629955947136564,0.594594594594595,1.46696035242291,0.833333333333333,0.607142857142857,0.720430107526882,"ds2033","c@cm"
"Stu_ce4542a2eff6df5fb4a0a6c410263b5e",2,64,31,45,26,0,0,1663.01666666667,184.97578125,1.21666666666667,0.616666666666667,0.583333333333333,2,4,17608,35,23,50,4.11057291666667,0,1.82857142857143,67,39,19,19,185.591666666667,32.2166666666667,32097,69,67,72,715.233333333333,0.666666666666667,0.538461538461538,1.27777777777778,0.888888888888889,0.7,0.720430107526882,"ds2033","c@cm"
"Stu_ce4542a2eff6df5fb4a0a6c410263b5e",3,12,7,6,6,2,2,1.21666666666667,0.452777777777778,8.05,0.183333333333333,2.88333333333333,3,5,4537,12,7,10,0.075462962962963,0.285714285714286,1,67,39,19,19,185.591666666667,32.2166666666667,32097,69,67,72,0.0666666666666667,0.673469387755102,0.636363636363636,1.40816326530612,0.888888888888889,0.769230769230769,0.720430107526882,"ds2033","c@cm"
"Stu_d028f25b0b9be4b3d02124ccc47f1d2f",1,6,3,4,2,0,0,0.716666666666667,0.519444444444444,0,0,0,0,0,1546,3,0,2,0.129861111111111,0,2,8,5,2,2,0.92037037037037,8.11666666666667,4936,9,6,4,0.833333333333333,NA,NA,NA,1,0.75,0.720430107526882,"ds2033","c@cm"
"Stu_d028f25b0b9be4b3d02124ccc47f1d2f",3,3,2,2,2,2,2,0.366666666666667,0.272222222222222,8.11666666666667,1.36666666666667,76.9333333333333,2,4,3390,6,6,2,0.136111111111111,0.333333333333333,0.5,8,5,2,2,0.92037037037037,8.11666666666667,4936,9,6,4,4.95,0.714285714285714,0.766666666666667,1.5,0.666666666666667,0.769230769230769,0.720430107526882,"ds2033","c@cm"
